the_geom,cartodb_id,timestamp,long,lat,external_t,outlier_ma,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time
0101000020E6100000A15068BCA1AB53C0680586AC6EE14140,84,2013-04-05 15:30:00+00,-78.68174658,35.76119,7.5000006,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000087DBC26F9AAB53C0EF38454772E14140,85,2013-04-18 21:40:00+00,-78.68130106,35.7613,26.6666688,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000BBF7EC908DAB53C0130F289B72E14140,86,2013-05-01 20:00:00+00,-78.68051551,35.76131,18.8888904,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000008B44D39F9EAB53C0A8A9656B7DE14140,87,2013-05-21 18:36:00+00,-78.68155666,35.76164,27.77778,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000001050E9799AAB53C01A51DA1B7CE14140,88,2013-07-30 19:55:00+00,-78.68130348,35.7616,28.22222448,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000681A1C3E8CAB53C0BD18CA8976E14140,89,2013-08-13 13:56:00+00,-78.68043473,35.76143,26.6666688,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000073F794F78CAB53C0BD18CA8976E14140,90,2013-08-14 14:25:00+00,-78.68047895,35.76143,25.11111312,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000008B947F9099AB53C0CBB9145795E14140,91,2013-08-15 14:00:00+00,-78.68124783,35.76237,20.61111276,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000008B947F9099AB53C0CBB9145795E14140,92,2013-08-16 14:25:00+00,-78.68124783,35.76237,22.83333516,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C94849519FAB53C036E50AEF72E14140,93,2013-09-18 17:36:00+00,-78.68159897,35.76132,21.22222392,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000A4FE7A8505AC53C0569A94826EE14140,94,2012-08-20 14:45:00+00,-78.687837,35.761185,20.0000016,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000912BF52C08AC53C0356090F469E14140,95,2012-08-29 16:37:00+00,-78.687999,35.761046,27.94444668,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000006DA983BC1EAC53C0BBB7223141E14140,96,2012-10-05 15:30:00+00,-78.689376,35.759802,20.0000016,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000522635B401AC53C02F52280B5FE14140,97,2012-10-24 16:48:00+00,-78.687604,35.760713,23.00000184,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000007A1A3048FAAB53C033A7CB6262E14140,98,2012-11-21 19:05:00+00,-78.687151,35.760815,13.55555664,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000007A1A3048FAAB53C033A7CB6262E14140,99,2013-04-03 20:36:00+00,-78.687151,35.760815,18.8888904,F,radio-transmitter,,PEEPER,PEEPER,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
